codec,corpus,direction,level,block,ratio,throughput_MBps,p50_us,p99_us,p999_us,cpu_frac,cores_freed
sw-zstd,egress-3-77366b.bin,compress,3,65536,0.3061,529.7,123.25,128.52,128.60,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,3,65536,0.3061,976.2,67.36,71.65,71.86,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,3,131072,0.3574,576.3,133.79,139.76,139.97,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,3,131072,0.3574,969.3,79.84,83.36,83.96,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,3,0,0.3574,576.4,133.81,139.33,140.75,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,3,0,0.3574,970.1,79.78,81.82,81.99,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,6,8192,0.1356,124.6,65.52,68.86,70.12,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,6,8192,0.1356,1016.6,8.00,8.93,11.88,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,6,16384,0.1312,136.6,119.37,126.34,126.34,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,6,16384,0.1312,1028.9,15.91,16.70,16.71,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,6,32768,0.1384,168.2,193.91,207.17,208.21,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,6,32768,0.1384,1039.2,31.49,32.38,33.30,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,6,65536,0.2682,167.6,390.21,411.95,415.54,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,6,65536,0.2682,926.1,70.73,72.51,73.03,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,6,131072,0.2728,157.4,490.30,510.66,511.37,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,6,131072,0.2728,923.1,83.75,88.62,88.83,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,6,0,0.2728,157.2,491.08,513.16,516.67,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,6,0,0.2728,924.1,83.80,87.73,88.22,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,9,8192,0.1356,19.6,418.29,424.56,425.83,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,9,8192,0.1356,1022.2,8.00,8.52,8.82,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,9,16384,0.1312,19.5,841.16,856.27,857.64,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,9,16384,0.1312,1026.9,15.91,16.76,16.76,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,9,32768,0.1368,68.0,480.39,513.14,513.52,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,9,32768,0.1368,1039.1,31.48,32.35,32.46,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,9,65536,0.2583,79.4,825.88,865.60,870.66,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,9,65536,0.2583,1028.4,63.65,65.66,65.66,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,9,131072,0.2673,79.2,977.68,995.26,995.27,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,9,131072,0.2673,939.0,82.42,84.83,86.16,1.000,0.000
sw-zstd,egress-3-77366b.bin,compress,9,0,0.2673,79.1,978.64,1006.38,1017.64,1.000,0.000
sw-zstd,egress-3-77366b.bin,decompress,9,0,0.2673,939.6,82.41,84.34,84.54,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,1,8192,0.1332,484.1,16.88,17.84,17.96,1.001,0.000
sw-zstd,ingress-3-77388b.bin,decompress,1,8192,0.1332,925.0,8.86,9.21,9.83,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,1,16384,0.1384,536.9,30.43,31.55,32.02,1.001,0.000
sw-zstd,ingress-3-77388b.bin,decompress,1,16384,0.1384,936.1,17.42,18.94,21.55,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,1,32768,0.1411,541.3,60.33,64.71,64.80,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,1,32768,0.1411,953.2,34.25,38.82,39.09,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,1,65536,0.2654,591.1,110.67,115.84,116.36,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,1,65536,0.2654,960.5,68.22,69.32,69.42,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,1,131072,0.3171,655.6,117.67,122.99,123.19,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,1,131072,0.3171,964.5,79.92,83.89,87.32,0.997,0.003
sw-zstd,ingress-3-77388b.bin,compress,1,0,0.3171,655.1,117.74,122.36,122.69,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,1,0,0.3171,967.8,79.96,81.33,81.69,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,3,8192,0.1376,431.6,18.97,19.85,20.01,1.001,0.000
sw-zstd,ingress-3-77388b.bin,decompress,3,8192,0.1376,948.1,8.50,12.39,13.23,0.993,0.007
sw-zstd,ingress-3-77388b.bin,compress,3,16384,0.1759,467.1,35.01,36.42,38.29,1.001,0.000
sw-zstd,ingress-3-77388b.bin,decompress,3,16384,0.1759,1036.4,16.13,16.61,16.71,1.000,0.000
sw-zstd,ingress-3-77388b.bin,compress,3,32768,0.2059,481.3,67.98,70.21,70.25,1.000,0.000
sw-zstd,ingress-3-77388b.bin,decompress,3,32768,0.2059,1026.3,31.98,34.05,34.98,1.000,0.000
